qid	qtitle	qanswer	qdifficulty	qexplain	qsource	qmainpoint
1	面向对象的三个基本特征是___、___和___。	"继承,封装,多态      "	3	只要好好看书你都会的	东软校招试题4	JAVA
2	在循环中使用___关键字，将跳过本轮循环的剩余语句，进入循环的下一轮；使用___关键字，将跳出循环。	" continue,break "	2	只要好好看书你都会的	东软校招试题4	JAVA
3	Java中所有类都是类________的子类。	Object     	3	只要好好看书你都会的	东软校招试题4	JAVA
4	在ORACLE中，用于事务提交的PL/SQL语句是___。	commit	4	只要好好看书你都会的	东软校招试题4	oracle 
5	"在JSP中使用的directive(指令)主要有三个：page指令,include指令和___指令."	taglib	3	只要好好看书你都会的	东软校招试题4	java
6	"在网页中显示一个提交按钮的标签是<input type=""___"" value=""提交""/>"	submit	4	只要好好看书你都会的	东软校招试题4	Web前台技术
7	"在Struts框架中，模型由实现业务逻辑的javaBean或EJB组件构成，控制器由___来实现，视图由一组JSP文件组成。
"	ActionServlet和Action	3	只要好好看书你都会的	东软校招试题4	struts
8	面向对象的三个基本特征是___、___和___。	"继承,封装,多态      "	3	只要好好看书你都会的	东软校招试题3	JAVA
9	在循环中使用___关键字，将跳过本轮循环的剩余语句，进入循环的下一轮；使用___关键字，将跳出循环。	" continue,break "	2	只要好好看书你都会的	东软校招试题3	JAVA
10	Java中所有类都是类___的子类。	Object     	3	只要好好看书你都会的	东软校招试题3	JAVA
11	在SQL查询语句中，消除重复记录的关键字是___	distinct	4	只要好好看书你都会的	东软校招试题3	oracle 
12	"在JSP中使用的directive(指令)主要有三个：___指令,include指令和taglib指令."	page	3	只要好好看书你都会的	东软校招试题3	java
13	"在网页中显示一个文本输入框的标签是<input type=""___"" name=""age""/>"	text	4	只要好好看书你都会的	东软校招试题3	Web前台技术
14	"在Struts框架中，模型由实现业务逻辑的javaBean或EJB组件构成，控制器由___来实现，视图由一组JSP文件组成。
"	ActionServlet和Action	3	只要好好看书你都会的	东软校招试题3	struts
15	在ORACLE中，使用___命令可以查看表的结构信息。	desc（或describe）	3	只要好好看书你都会的	东软校招试题3	oracle 
16	在JSP中使用的directive(指令)主要有三个：page指令，___指令和taglib指令.	include	4	只要好好看书你都会的	东软校招试题4	struts
17	一个Java源程序是由若干个(_________)组成。	类	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
18	(_________)是Java的关键字，用来定义类。	class	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
19	Java应用程序中有多个类时，java命令后的类名必须是包含了(_________)方法的那个类的名字。	main	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
20	一个Java应用程序必须且只有一个类含有(_________)方法。	main	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
21	在一个Java应用程序中main方法必须被说明为(_________)。	public static void	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
22	Java中所有程序都使用方法，应用程序以(_________)方法开始。	main	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
23	Java源文件中有多个类，但只能有一个类是 (_________) 类。	public	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
24	Java源程序编译后生成的字节码文件扩展名为 (_________) 。	class	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
25	用来标识类名、变量名、方法名、类型名、数组名、文件名的有效字符序列称为。	标识符	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
26	Java语言规定标识符由字母、下划线、美元符号和数字组成，并且第一个字符不能是 。	数字	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
27	(_________)就是Java语言中已经被赋予特定意义的一些单词，不可以把这类词作为名字来用。	关键字	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
28	使用关键字(_________)定义逻辑变量。	boolean	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
29	(_________) 就是Java语言中已经被赋予特定意义的一些单词。	关键字	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
30	结构化程序设计的基本数据类型包括  (_________)  、整数类型、字符类型、浮点类型。	逻辑类型	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
31	Java中byte型数组在内存中的存储形式是  (_________)   。	补码	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
32	结构化程序设计的基本数据类型包括  (_________)   、逻辑类型、字符类型、浮点类型。	整数类型	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
33	使用关键字  (_________)   来定义字符变量。	char	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
34	结构化程序设计的基本数据类型包括  (_________)   、逻辑类型、整数类型、浮点类型。	字符类型	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
35	java中，浮点型变量的类型有float和  (_________)   两种。	double	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
36	结构化程序设计的基本数据类型包括  浮点类型   、逻辑类型、整数类型、字符类型。	浮点类型	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
37	Java使用  (_________)  字符集。	Unicode	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
38	混合运算中不同类型的数据先转化为同一类型，然后运算，其中不包括  (_________)  和字符类型。	逻辑类型	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
39	混合运算中不同类型的数据先转化为同一类型，然后运算，其中不包括  (_________)  、逻辑类型。	字符类型	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
40	当把级别高的变量的值赋予级别低的变量时，必须使用  (_________)  转换。	强制类型	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
41	Java中关系运算符的运算结果是  (_________) 型。	boolean	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
42	Java中逻辑运算符的操作元必须是 (_________)   型数据。	boolean	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
43	整数类型数据在内存中以 (_________)  的方式表示。	二进制	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
44	Java语言的控制语句有3种类型，即条件语句、 (_________)  、和转移语句。	循环语句	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
45	Java中有两种类型的控制语句即if和 (_________)  。	switch	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
46	Java语言的控制语句有3种类型，即  (_________)  、循环语句、和转移语句。	条件语句	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
47	Java中的语句可分为方法调用语句、表达式语句、复合语句、  (_________)  和package语句和import语句。	控制语句	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
48	Java中的语句可分为方法调用语句、表达式语句、符合语句、控制语句、package语句和  (_________)  语句。	import	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
49	在同一个switch语句中，case后的  (_________) 必须互不相同。	常量值	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
50	面向对象编程序主要有 (_________)、继承性、多态性的特点。	封装性	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
51	面向对象编程序主要有封装性、 (_________)  、多态性的特点。	继承性	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
52	面向对象编程序主要有封装性、继承性、 (_________)  的特点。	多态性	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
53	(_________) 是组成Java程序的基本要素，封装了一类对象的状态和方法。	类	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
54	在类体中，变量定义部分所定义的变量称为类的 (_________)  。	成员变量	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
55	成员变量在整个类内都有效， (_________)   变量只在定义它的方法内有效。	局部	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
56	Java中成员变量又分为实例成员变量和  (_________)  。	类成员变量	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
57	写类的目的是为了描述一类事物共有的(_________) 和功能。	属性	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
58	写类的目的是为了描述一类事物共有的属性和 (_________)  。	功能	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
59	成员变量和局部变量的类型可以是Java中的任何一种 (_________)  。	数据类型	2	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
60	用修饰符(_________)说明的成员变量是类变量。	static	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
61	"变量的名字与成员变量的名字相同，则成员变量被 (_________)  ,该成员变量在这个方法内暂时失效。"	隐藏	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
62	用修饰符static说明的成员变量是 (_________)  。	类变量	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
63	如果局部变量的名字与成员变量的名字相同，(_________) 将被隐藏。	成员变量	4	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
64	方法定义包括两部分：(_________)和方法体。	方法声明	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
65	(_________)是指，一个类中可以有多个方法具有相同的名字和类型，但这些方法的参数必须不同。	方法重载	3	只要好好看书你都会的	java课后习题1-6章习题	java基本知识
