qid	qtitle	qoptA	qoptB	qoptC	qoptD	qanswer	qdifficulty	qexplain	qsource	qmainpoint
1	CPU指的是()。	运算器和CRT	CRT和RAM	ALU和控制器	ALU和ROM	C	3	"基本知识,细心你就懂"	百度文库	基本概念
2	计算机与一般计算装置的本质区别是它具有()。	大容量和高速度	自动控制功能	程序控制功能	存储程序和程序控制功能	D	3	"基本知识,细心你就懂"	百度文库	基本概念
3	在计算机中，数值数据一般采用()形式存储。	原码	补码	反码	真值	B	3	"基本知识,细心你就懂"	百度文库	基本概念
4	十进制数97转换成二进制数为( )。	1100001	11000010	110001	1010101	A	3	"基本知识,细心你就懂"	百度文库	基本概念
5	Java 2技术中，常用于嵌入式设备及消费类电器（如手机等）上的开发的是( )。	J2EE	J2SE	J2ME	JRE	C	3	"基本知识,细心你就懂"	百度文库	基本概念
6	适合用来开发系统程序，如编写操作系统及驱动程序的程序设计语言是( )。	Java	Fortran	Pascal	C	D	3	"基本知识,细心你就懂"	百度文库	基本概念
7	Java源程序是以文本格式存放的，文件扩展名必须为( )。	.java	.class	.jar	.txt	A	3	"基本知识,细心你就懂"	百度文库	基本概念
8	Java的平台无关性的实现主要依靠( )。	JDK	JVM	JRE	JAR	B	3	"基本知识,细心你就懂"	百度文库	基本概念
9	与Java应用程序（Application）不同，Java Applet程序的运行，需要得到( )的支持。	操作系统	客户端浏览器	记事本（Notepad）软件	数据库服务器	B	3	"基本知识,细心你就懂"	百度文库	基本概念
10	安装JDK时，不需要配置环境变量()。                                 **	JAVA_HOME	path	classpath	OS	D	3	"基本知识,细心你就懂"	百度文库	基本概念
11	编译Java Application 源程序文件将产生相应的字节码文件，这些字节码文件的扩展名为( )。                                                            ***	java 	class 	html 	exe	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
12	Java程序的执行过程中用到一套JDK工具，其中java.exe是指( )。	Java文档生成器 	Java解释器	Java编译器 	Java类分解器	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
13	Java语言具有许多优点和特点，下列选项中，哪个反映了Java程序并行机制的特点()。	安全性                                                                    ****	多线程	跨平台	可移植	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
14	Java编程所必须的默认引用包为( )。                                *****	java.sys包 	java.lang包 	java.new包	以上都不是	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
15	在Java中，属于浮点数类型变量的是( )。	single	double	byte	char	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
16	在Java中，属于浮点数类型变量的是()。	single	double	byte	char	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
17	在Java中，属于浮点数类型变量的是( )。	single	double	byte	char	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
18	下面哪些选项是正确的main方法说明？( )。	public main(String args[])	public static void main(String args[])	private static void main(String args[])	void main()	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
19	System类在哪个包中()。	javA.util 	java.io 	java.awt 	java.lang	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
20	判断下列标识符哪个是不正确( )。	Java_proc 	result_n1 	_bit 	5job	D	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
21	Math类是标准的数学类，下面哪一个不是该类提供的数学运算的方法( )。	绝对值abs() 	指数运算exp()	对数运算log() 	排序sort()	D	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
22	下列关于for循环和while循环的说法中哪个是正确的()。	while循环能实现的操作，for循环也都能实现	while循环判断条件一般是程序结果，for循环判断条件一般是非程序结果	两种循环任何时候都可替换	两种循环结构中都必须有循环体，循环体不能为空	A	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
23	在Java中，不属于整数类型变量的是( )。	double 	long 	int 	byte	A	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
24	Java变量中，以下不属于复合类型的数据类型是()。          ***	类 	字符型	数组型	接口	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
25	JAVA程序经常用到“递归”，“递归”的基本思想是( )。	“让别人反复调用自己” 	“自己反复调用别人”	“自己反复调用自己” 	以上说法都不对	C	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
26	下面的语句会产生编译错误的是( )。	float F=1024.0F; 	double D=1024.0; 	byte B=1024; 	char C=1024;	C	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
27	下面哪个是合法的标识符( )。	$persons  	2Users  	*point  	this	A	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
28	下面哪个是合法的标识符( )。	$persons  	2Users  	*point  	this	A	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
29	以下程序段执行后的K值为( )。int x=20; y=30; k=(x>y)?y:x;  	20	30	10	50	A	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
30	下列哪个选项是合法的标识符( )。	123	_name	class	1first	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
31	下面的语句会产生编译错误的是( )。	double D=1000.0; 	char C=1024; 	float F=1024.0F; 	byte B=1000;	D	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
32	编译Java Application 源程序文件将产生相应的字节码文件这些字节码文件的扩展名为( )。                                                  ***	.java   	.class	.html	.exe	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
33	关于Java Application和Applet的说法中，正确的是( )。             **** 	都包含main()方法    	都通过“appletviewer”命令执行    	都通过“javac”命令编译    	都嵌入在HTML文件中执行	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
34	"下列语句片段 int a=10,b=4,c=20,d=6; System.out.println(a++*b+c*--d); 输出结果为( )。         "	                                                          *****	144	28	140	D	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
35	下列哪个是面向大型企业级用容器管理专用构件的应用平台( )。	J2EE  	J2ME  	J2SE  	J2DE	A	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
36	数组中各个元素的数据类型是( )。	相同的	不同的	部分相同的	任意的	A	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
37	数组中各个元素的数据类型是( )。	相同的	不同的	部分相同的	任意的	A	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
38	Java语言是_____年由______公司第一次正式发布的________被誉为Java之父( )。	1996IBMAnders Hejlsberg 	1995SunBruce Eckel 	1995SunJames Gosling  	1996MicrosoftBill Joe	C	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
39	Java中采用类名后跟一点(.)和方法名的形式调用( )方法。             ****	构造方法 	非静态方法  	静态方法 	静态和非静态方法	C	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
40	"当方法遇到异常又不知如何处理时,下列哪种说法是正确的()。     *****"	捕获异常  	抛出异常     	声明异常     	嵌套异常	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
41	下列代表八进制整数的是( )。                     ****	0X56	-1.00E+03	1840	144	D	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
42	下列关键字中可以表示常量的是( )。	final  	default 	private  	transient	A	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
43	下面的数据类型下面的数据类型下面的数据类型下面的数据类型（ ）是float型。	33.8	129	89L	8.6f	D	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
44	Java语言所用的字符集中字符是（ ）字节。      ****	2	1	4	8	A	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
45	下列关于标识符的描述中，正确的是（  ） 	标识符中可以使用下划线和美元符	标识符中可以使用链接符和井号符	标识符中大小写字母是无区别的	标识符可选用关键字	A	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
46	下列是Java语言中可用的注释符，其中错误的是（ ）。	//     	/**…*/    	/**…**/   	/*…*/	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
47	Java语言中字符型数据的长度是（  ）位。	8	16	32	64	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
48	变量命名规范说法正确的是（  ）。	变量由字母	下划线	数字	$符号随意组成。	B	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
49	以下(  )不是合法的标识符。	STRING	x3x	void 	de	C	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
50	表达式(11+3*8)/4%3的值是( )。	31	0	1	2	D	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
51	下面哪些选项不可以用作变量名的首字符作变量名的首字符？(  )	字母	下划线	数字	美圆符号	C	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
52	整型数据类型中，需要内存空间最少的是（ ）。      *****	short	long	int	byte	D	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
53	下面哪一个操作符的优先级最高？  （ ）    ****	&&	||	!	( )	D	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
54	下面哪一个操作符的优先级最高？  （ ）    ****	&&	||	!	( )	D	3	"基本知识,细心你就懂"	百度文库	面向对象的基本原理
