qid	qexplain	qsource	qdifficulty	qexplain	qsource	qmainpoint
1	 数组有没有length()这个方法? String有没有length()这个方法？	"答：数组没有length()这个方法，有length的属性。 
String有有length()这个方法。
"	1	Java编程语法基础	2012年最新java笔试题	基本数据类型
2	"String s = new String(""xyz"");创建了几个String Object?"	"答：两个对象，一个是“xyx”,一个是指向“xyx”的引用对象s。"	2	面向对象编程基础	2022年最新java笔试题	引用
3	6．接口与抽象类的区别	答：声明方法的存在而不去实现它的类被叫做抽象类（abstract class），它用于要创建一个体现某些基本行为的类，并为该类声明方法，但不能在该类中实现该类的情况。不能创建abstract 类的实例。然而可以创建一个变量，其类型是一个抽象类，并让它指向具体子类的一个实例。不能有抽象构造函数或抽象静态方法。Abstract 类的子类为它们父类中的所有抽象方法提供实现，否则它们也是抽象类。取而代之，在子类中实现该方法。知道其行为的其它类可以在类中实现这些方法。   接口（interface）是抽象类的变体。在接口中，所有方法都是抽象的。多继承性可通过实现这样的接口而获得。接口中的所有方法都是抽象的，没有一个有程序体。接口只可以定义static final成员变量。接口的实现与子类相似，除了该实现类不能从接口定义中继承行为。当类实现特殊接口时，它定义（即将程序体给予）所有这种接口的方法。然后，它可以在实现了该接口的类的任何对象上调用接口的方法。由于有抽象类，它允许使用接口名作为引用变量的类型。通常的动态联编将生效。引用可以转换到接口类型或从接口类型转换，instanceof 运算符可以用来决定某对象的类是否实现了接口.	1	面向对象编程进阶	2012年最新java笔试题	类的继承
4	4. ==和equals的区别？	"答：==用于判断两个引用变量是否指向同一个对象实例.
equals用于判断两个值是否相等.
"	1	Java编程语法基础	2012年最新java笔试题	基本数据类型
5	5.Set里的元素是不能重复的，那么用什么方法来区分重复与否呢? 是用==还是equals()? 它们有何区别?	答：Set里的元素是不能重复的，那么用iterator()方法来区分重复与否。equals()是判读两个Set是否相等。      equals()和==方法决定引用值是否指向同一对象equals()在类中被覆盖，为的是当两个分离的对象的内容和类型相配的话，返回真值。	1	J2SE中常见类等基本知识	2012年最新java笔试题	集合
6	7．接口是否可继承接口? 抽象类是否可实现(implements)接口? 抽象类是否可继承实体类(concrete class)?	答：接口可以继承接口。抽象类可以实现(implements)接口，抽象类是否可继承实体类，但前提是实体类必须有明确的构造函数。	1	面向对象编程进阶	2012年最新java笔试题	类的继承
7	8．java中有几种类型的流？JDK为每种类型的流提供了一些抽象类以供继承，请说出他们分别是哪些类？	答： 字节流，字符流。字节流继承于InputStream \ OutputStream，字符流继承于InputStreamReader \ OutputStreamWriter。在java.io包中还有许多其他的流，主要是为了提高性能和使用方便。	2	J2SE中常见类等基本知识	2012年最新java笔试题	IO流
8	9．基本数据类型间的转换	答： byte->short->int->long->float->double        char->int          详细见<<java核心技术第一卷V6>>	2	Java编程语法基础	2012年最新java笔试题	基本数据类型
9	10.String是最基本的数据类型吗?	答：基本数据类型包括byte、int、char、long、float、double、boolean和short。     java.lang.String类是final类型的，因此不可以继承这个类、不能修改这个类。为了提高效率节省空间，我们应该用StringBuffer类。	1	Java编程语法基础	2012年最新java笔试题	基本数据类型
10	11.int 和 Integer 有什么区别	答：Java 提供两种不同的类型：引用类型和原始类型（或内置类型）。int是java的原始数据类型，Integer是java为int提供的封装类。Java为每个原始类型提供了封装类。   原始类型封装类   booleanBoolean   charCharacter   byteByte    shortShort    intInteger   longLong    floatFloat   doubleDouble                         引用类型和原始类型的行为完全不同，并且它们具有不同的语义。引用类型和原始类型具有不同的特征和用法，它们包括：大小和速度问题，这种类型以哪种类型的数据结构存储，当引用类型和原始类型用作某个类的实例数据时所指定的缺省值。对象引用实例变量的缺省值为 null，而原始类型实例变量的缺省值与它们的类型有关。	1	Java编程语法基础	2012年最新java笔试题	基本数据类型
